,repository_name,language
0,.github,
1,aioshumway,Python
2,android-auth,HTML
3,android-sdk,HTML
4,android-store-service,Python
5,annoy,C++
6,annoy-java,Java
7,apollo,Java
8,apollo-elide,Java
9,apollo-metrics,
10,apps-tutorial,
11,async-datastore-client,Java
12,async-google-pubsub-client,Java
13,backup-utils,Shell
14,basic-pitch,Python
15,basic-pitch-ts,TypeScript
16,batty,Python
17,bazel-tools,Java
18,beam,Java
19,big-data-rosetta-code,Scala
20,bigtable-autoscaler,Java
21,boilerplate-app,
22,bucket-runner,JavaScript
23,cartography,Python
24,cassandra-extra,Java
25,cassandra-medusa,Python
26,cassandra-opstools,Java
27,cassandra-reaper,
28,certcheck,Python
29,chartify,Python
30,code-of-conduct,
31,collectd,C
32,comet,Python
33,comet-common,Python
34,comet-core,Python
35,completable-futures,Java
36,condor,Java
37,confidence,Python
38,confidence-openfeature-provider-go,Go
39,confidence-openfeature-provider-java,Java
40,confidence-openfeature-provider-python,Python
41,confidence-sdk-android,Kotlin
42,confidence-sdk-js,TypeScript
43,confidence-sdk-swift,Swift
44,container-agent,Python
45,cookiecutter-golang,Go
46,coordinator,HTML
47,crtauth,Python
48,crtauth-java,Java
49,crtauth-java-agent-signer-apache,Java
50,crunch-lib,Java
51,cstar,Python
52,daemon-java,Java
53,dataenum,Java
54,DataflowJavaSDK,Java
55,dataproc-java-submitter,Java
56,dataprocxy,Python
57,dbeam,Java
58,debify,Shell
59,dh-virtualenv,Python
60,diffuser,Swift
61,dns-java,Java
62,docgenerator,Java
63,docker-alpine,
64,docker-bigtable,Go
65,docker-cassandra,Shell
66,docker-client,Java
67,docker-gc,Shell
68,docker-kafka,Shell
69,docker-maven-plugin,Java
70,docker-stress,Python
71,dockerfile-maven,Java
72,dockerfile-mode,Emacs Lisp
73,docker_interface,Python
74,drserv,Python
75,druid,
76,duck,Ruby
77,echoprint-codegen,C++
78,echoprint-server,Java
79,elasticsearch-index-window,Java
80,elitzur,Scala
81,eslint-config-oss,JavaScript
82,etcd,Go
83,featran,Scala
84,ffwd,Java
85,ffwd-client-java,Java
86,ffwd-http-client,Java
87,ffwd-ruby,Ruby
88,flink,Java
89,flink-docker,
